BLOCKID,HOUSE
090035049001010, 3
090035045002001, 3
090035030001006, 3
090035247003007, 3
090035030001001, 3
090035247003012, 3
090035029002002, 3
090035049002010, 3
090035045003008, 3
090035045001004, 3
090035049002011, 3
090035030001007, 3
090035245013000, 3
090035049002012, 3
090035245012007, 3
090035043001003, 3
090035049001012, 3
090035029003000, 3
090035043001007, 3
090035247003008, 3
090035245012012, 3
090035245012006, 3
090035028001001, 3
090035247003006, 3
090035027003003, 3
090035045001000, 3
090035245012010, 3
090035043001008, 3
090035245012004, 3
090035043001002, 3
090035027003000, 3
090035043001010, 3
090035029002001, 3
090035043001009, 3
090035028001006, 3
090035029001000, 3
090035245012011, 3
090035030001004, 3
090035029002008, 3
090035041001002, 3
090035247003017, 3
090035247003013, 3
090035245013001, 3
090035041001003, 3
090035045003004, 3
090035049001016, 3
090035049002014, 3
090035041001012, 3
090035049003000, 3
090035041001000, 3
090035041001013, 3
090035042002007, 3
090035049002013, 3
090035049001001, 3
090035042002006, 3
090035028001003, 3
090035030001003, 3
090035043001011, 3
090035049002006, 3
090035030001000, 3
090035030001005, 3
090035247003011, 3
090035245013002, 3
090035045003006, 3
090035042003002, 3
090035049001011, 3
090035029003001, 3
090035045001001, 3
090035049001008, 3
090035043001014, 3
090035247003015, 3
090035029001003, 3
090035041001011, 3
090035049003001, 3
090035049002003, 3
090035029002003, 3
090035041001007, 3
090035049001003, 3
090035049002005, 3
090035049002004, 3
090035245012009, 3
090035049002009, 3
090035045003005, 3
090035045003003, 3
090035049002015, 3
090035027003002, 3
090035042003005, 3
090035049001014, 3
090035247003001, 3
090035028001000, 3
090035049001005, 3
090035247003002, 3
090035043001006, 3
090035042003006, 3
090035043001000, 3
090035045002003, 3
090035041001004, 3
090035049001006, 3
090035028003001, 3
090035247003016, 3
090035247003003, 3
090035045003009, 3
090035041001009, 3
090035029002004, 3
090035030001002, 3
090035049002000, 3
090035049002008, 3
090035049001000, 3
090035028001004, 3
090035043001005, 3
090035247003021, 3
090035045003000, 3
090035045003001, 3
090035049002002, 3
090035028001002, 3
090035042003003, 3
090035247003005, 3
090035041001005, 3
090035043001004, 3
090035029001001, 3
090035049002007, 3
090035029003004, 3
090035247003000, 3
090035041001008, 3
090035031011005, 3
090035029002006, 3
090035045002002, 3
090035045001002, 3
090035028003002, 3
090035247003009, 3
090035247003019, 3
090035029002007, 3
090035045001003, 3
090035245012005, 3
090035028001005, 3
090035049003004, 3
090035042003004, 3
090035029003002, 3
090035049001004, 3
090035001001004, 4
090035021002036, 4
090035021002038, 4
090035021001061, 4
090035021001039, 4
090035021001020, 4
090035003001003, 4
090035027003006, 4
090035025001020, 4
090035024001004, 4
090035021001017, 4
090035021001029, 4
090035021002022, 4
