BLOCKID,SENATE
090035002001007, 1
090035021002011, 1
090035048001007, 1
090035030002006, 1
090035023002006, 1
090035023005009, 1
090035247003005, 1
090035041001005, 1
090035018001005, 1
090034923005003, 1
090035024002000, 1
090035043001004, 1
090034922004007, 1
090034925002013, 1
090035021002000, 1
090035030002004, 1
090035247001002, 1
090034922004006, 1
090035029001001, 1
090035018002006, 1
090035027002004, 1
090035013001000, 1
090034921002008, 1
090035048002000, 1
090035049002007, 1
090034922002020, 1
090034921001034, 1
090035023004012, 1
090034921002014, 1
090035029003004, 1
090035247003000, 1
090034926005024, 1
090035018002005, 1
090034924001000, 1
090035027003009, 1
090034921002004, 1
090034926002001, 1
090035041001008, 1
090035021001001, 1
090035004001005, 1
090035026001006, 1
090034925002012, 1
090035048003006, 1
090035026001005, 1
090034924002008, 1
090034923004013, 1
090035025001010, 1
090035004001001, 1
090034924001015, 1
090034925001017, 1
090034923003008, 1
090035025001019, 1
090035017001003, 1
090035021001045, 1
090035247001006, 1
090035029002006, 1
090035030002000, 1
090034925001020, 1
090034926002005, 1
090035045002002, 1
090035045001002, 1
090035026002005, 1
090035048003019, 1
090035028003002, 1
090035025001034, 1
090035025001008, 1
090035001002003, 1
090035247002006, 1
090034924001006, 1
090035025001017, 1
090035005001002, 1
090035030002002, 1
090034921002005, 1
090035021002043, 1
090035005002001, 1
090035048004007, 1
090034926001000, 1
090035002001006, 1
090035247003009, 1
090039801001034, 1
090034922001001, 1
090035003002005, 1
090034921002017, 1
090034923001012, 1
090035025001009, 1
090035021002020, 1
090035247003019, 1
090035029002007, 1
090035021001038, 1
090035025001032, 1
090035045001003, 1
090034923002003, 1
090035048003007, 1
090035026001001, 1
090035023004009, 1
090034924001008, 1
090034925001023, 1
090034924002021, 1
090034925002002, 1
090034923003011, 1
090034923003016, 1
090034923001015, 1
090035048003003, 1
090034926004000, 1
090035021002030, 1
090035021001026, 1
090035021001012, 1
090035048004012, 1
090035025001011, 1
090034921002003, 1
090034922002008, 1
090034925001008, 1
090035028001005, 1
090035003001000, 1
090035048003011, 1
090035023004001, 1
090034921001005, 1
090035005001003, 1
090035244002008, 1
090035049003004, 1
090034922001016, 1
090034921001026, 1
090034926004009, 1
090034923005005, 1
090035024002006, 1
090035025001016, 1
090035025001022, 1
090035023002004, 1
090035025001028, 1
090035029003002, 1
090034926001001, 1
090034926002007, 1
090035048003000, 1
090035021001011, 1
090035001002001, 1
090034926006001, 1
090035049001004, 1
090034923003020, 1
090034923002004, 1
090035001002004, 1
090035024003000, 1
090034922002009, 1
090035021001066, 1
090034921001032, 1
090035040001010, 2
090034712002019, 2
090034713001004, 2
090034738002016, 2
090034738002020, 2
090035244001017, 2
090035039004017, 2
090034711001000, 2
090035013001005, 2
090035042001002, 2
090034731001002, 2
090034737002014, 2
090034734001001, 2
090034734002003, 2
090034714002018, 2
090034711002025, 2
090035245021002, 2
090034738001004, 2
090034738002011, 2
090035031011009, 2
090035039004028, 2
090035245022007, 2
090035015001007, 2
090034711002022, 2
090035039001011, 2
090034734002011, 2
090034713001006, 2
090039801001023, 2
090034735011048, 2
090035040001006, 2
090034731001001, 2
090035246003005, 2
090034736012012, 2
090035038001013, 2
090034715002008, 2
090034711002021, 2
090035018003003, 2
090034734002014, 2
090034713004008, 2
090034738002008, 2
090035013001006, 2
090034715001014, 2
090034715002016, 2
090034712002022, 2
090034711002003, 2
090035037001003, 2
090034714004007, 2
090034737005002, 2
090034713001002, 2
090035039003003, 2
090039801001019, 2
090035245012000, 2
090035246002002, 2
090035246003012, 2
090035246003007, 2
090035039004012, 2
090035244001007, 2
090034735011010, 2
090035035001005, 2
090034731005012, 2
090034713001016, 2
090035038001008, 2
090034734001022, 2
090034731003009, 2
090035039004023, 2
090034735012000, 2
090035039004025, 2
090034738001012, 2
090034737004014, 2
090034737004000, 2
090035042002004, 2
090034737003001, 2
090034714002006, 2
090034714002000, 2
090034735011025, 2
090035039004001, 2
090034731002000, 2
